route,dataset,grid,seed,n,d,ntest,support_fraction,sigma,contamination_fraction,noise_multiplier,rmse_joint,rmse_model_only,weight_recall_joint,outlier_recall_joint,weight_ess_joint,data_ess_joint
1,synthetic,weight_grid,0,500,50,1000,0.1,0.1,0.2,10.0,0.10336845727507413,0.12581523670901734,1.0,0.8,0.07919084882739372,0.5093230376527529
1,synthetic,weight_grid,1,500,50,1000,0.1,0.1,0.2,10.0,0.10799363143921503,0.15129326396740492,1.0,0.84,0.09134240811285926,0.502122573630054
1,synthetic,weight_grid,2,500,50,1000,0.1,0.1,0.2,10.0,0.10661654749479528,0.13741318606497244,1.0,0.85,0.06635284349249536,0.49325645286848263
1,synthetic,weight_grid,3,500,50,1000,0.1,0.1,0.2,10.0,0.10236998812495955,0.11025443135036962,1.0,0.84,0.043890143618051096,0.5095165744895883
1,synthetic,weight_grid,4,500,50,1000,0.1,0.1,0.2,10.0,0.10434535281686051,0.14504928593166652,0.8,0.87,0.033504269490086946,0.4974508148561796
1,synthetic,weight_grid,5,500,50,1000,0.1,0.1,0.2,10.0,0.10124904342636913,0.1341992086240997,1.0,0.86,0.05722173107821029,0.5011549412516215
1,synthetic,weight_grid,6,500,50,1000,0.1,0.1,0.2,10.0,0.09808054131966483,0.14381201101338492,1.0,0.85,0.0707760675018484,0.5110540277134117
1,synthetic,weight_grid,7,500,50,1000,0.1,0.1,0.2,10.0,0.10815749166343096,0.13160515196889627,1.0,0.86,0.062416134134705974,0.5040016245583255
1,synthetic,weight_grid,8,500,50,1000,0.1,0.1,0.2,10.0,0.10670386119257072,0.13932779143501578,1.0,0.84,0.07736271450552429,0.49942725549617895
1,synthetic,weight_grid,9,500,50,1000,0.1,0.1,0.2,10.0,0.1060528793570028,0.16614908324206523,1.0,0.85,0.07162729585898962,0.49610891579094457
1,synthetic,weight_grid,0,500,50,1000,0.1,0.2,0.2,10.0,0.2094062082539511,0.25174866005697305,1.0,0.8,0.07937037763603039,0.5083067846584394
1,synthetic,weight_grid,1,500,50,1000,0.1,0.2,0.2,10.0,0.22101479289353093,0.30314645293303705,1.0,0.84,0.09533584015213079,0.49883960820896045
1,synthetic,weight_grid,2,500,50,1000,0.1,0.2,0.2,10.0,0.21591263529110197,0.27435074908123985,1.0,0.86,0.06707790121895668,0.48732262348899225
1,synthetic,weight_grid,3,500,50,1000,0.1,0.2,0.2,10.0,0.2045797140658661,0.22060019127884967,1.0,0.85,0.04400683685524353,0.49902089420440143
1,synthetic,weight_grid,4,500,50,1000,0.1,0.2,0.2,10.0,0.21177787576674326,0.2900354420071694,0.8,0.86,0.033914831390015075,0.5053184603563599
1,synthetic,weight_grid,5,500,50,1000,0.1,0.2,0.2,10.0,0.20608187482870327,0.2686213133178342,1.0,0.88,0.05759080545453377,0.5012271176086547
1,synthetic,weight_grid,6,500,50,1000,0.1,0.2,0.2,10.0,0.1978039619656584,0.28665829651558933,1.0,0.85,0.07119293655260618,0.5017579808826269
1,synthetic,weight_grid,7,500,50,1000,0.1,0.2,0.2,10.0,0.22067438808079384,0.26715908681535083,1.0,0.87,0.06292857087990701,0.4979851057576447
1,synthetic,weight_grid,8,500,50,1000,0.1,0.2,0.2,10.0,0.2144273865206752,0.27968993700583344,1.0,0.85,0.07785859349239986,0.49747618153718126
1,synthetic,weight_grid,9,500,50,1000,0.1,0.2,0.2,10.0,0.21693358615785877,0.3328553460511255,1.0,0.85,0.07253252069452017,0.49646728791396877
1,synthetic,weight_grid,0,500,50,1000,0.1,0.5,0.2,10.0,0.5392278684475825,0.6306552105342828,1.0,0.8,0.08275884027953877,0.4971744888546307
1,synthetic,weight_grid,1,500,50,1000,0.1,0.5,0.2,10.0,0.567437500141712,0.7675262822433697,1.0,0.84,0.12171411776795643,0.5006184573836028
1,synthetic,weight_grid,2,500,50,1000,0.1,0.5,0.2,10.0,0.5501691749269669,0.684195862370245,1.0,0.86,0.07205269112151151,0.49078251425345665
1,synthetic,weight_grid,3,500,50,1000,0.1,0.5,0.2,10.0,0.5189179211594659,0.5540174418696465,1.0,0.84,0.04453386514380736,0.507672551391604
1,synthetic,weight_grid,4,500,50,1000,0.1,0.5,0.2,10.0,0.5382199238684414,0.7277334489401985,0.8,0.86,0.03632663575519513,0.5011061048958749
1,synthetic,weight_grid,5,500,50,1000,0.1,0.5,0.2,10.0,0.5285398475600517,0.6767736768483348,0.8,0.87,0.060501306267379595,0.5074090024131387
1,synthetic,weight_grid,6,500,50,1000,0.1,0.5,0.2,10.0,0.5131665378078769,0.7120531980698834,1.0,0.85,0.07428301071861636,0.49621582956525245
1,synthetic,weight_grid,7,500,50,1000,0.1,0.5,0.2,10.0,0.5844460789355546,0.6655403366509882,0.8,0.87,0.06872056368124771,0.48347527504826604
1,synthetic,weight_grid,8,500,50,1000,0.1,0.5,0.2,10.0,0.5396305517913913,0.7150963306895631,1.0,0.84,0.080187438359282,0.4964598214586756
1,synthetic,weight_grid,9,500,50,1000,0.1,0.5,0.2,10.0,0.5608625698425799,0.8414885833690859,1.0,0.84,0.08220217078933445,0.4956961778702752
1,synthetic,weight_grid,0,500,50,1000,0.2,0.1,0.2,10.0,0.10317341455373766,0.14272025664309346,1.0,0.82,0.08166655136800237,0.5101811339319978
1,synthetic,weight_grid,1,500,50,1000,0.2,0.1,0.2,10.0,0.10623997084524772,0.14007422758593105,1.0,0.82,0.11997988934211037,0.5044221892399292
1,synthetic,weight_grid,2,500,50,1000,0.2,0.1,0.2,10.0,0.10515661888459521,0.12130262164091377,1.0,0.86,0.12954788662703526,0.5016689916466023
1,synthetic,weight_grid,3,500,50,1000,0.2,0.1,0.2,10.0,0.10571472275273547,0.15273479331172146,1.0,0.82,0.11381067241384836,0.5101414339457431
1,synthetic,weight_grid,4,500,50,1000,0.2,0.1,0.2,10.0,0.1069349460533873,0.12428705987714897,1.0,0.84,0.11623571763528004,0.5177482004978502
1,synthetic,weight_grid,5,500,50,1000,0.2,0.1,0.2,10.0,0.10470996855890548,0.154009051760518,1.0,0.73,0.11665163476656897,0.5192118708426902
