route,dataset,seed,condition,original_rows,train_rows,test_rows,raw_features,rff_features,rff_gamma,outliers,rmse_joint,rmse_model_only,rmse_ridge,rmse_huber,weight_ess_joint,data_ess_joint,outlier_recall_joint,joint_iterations,joint_converged,model_only_iterations
5,Energy,0,clean,768,614,154,8,256,0.0655530613712668,0,0.9786462131414245,0.5976777100635783,0.5914330587212545,2.252146614066647,0.03274007616084043,0.5707131308428024,nan,80,False,80
5,Energy,0,contaminated_10pct,768,614,154,8,256,0.0655530613712668,61,0.7589544807876534,3.316265094289709,3.912252765743712,2.249164733704779,0.09293274433974283,0.6055417593058794,1.0,80,False,80
5,Energy,1,clean,768,614,154,8,256,0.06588682129650619,0,0.8842953054972,0.5950551670034641,0.5954950617296102,2.728315886891727,0.05440821564754559,0.565705292446111,nan,80,False,80
5,Energy,1,contaminated_10pct,768,614,154,8,256,0.06588682129650619,61,0.9246677444379038,3.6613426679270686,3.2176671694221395,2.729087622795357,0.0900318956350091,0.6023768551599796,1.0,80,False,80
5,Energy,2,clean,768,614,154,8,256,0.06496187166220023,0,0.7758314336559929,0.5377446677195347,0.5384177637978222,2.7634032628511536,0.0764082145015081,0.5791567108121481,nan,80,False,80
5,Energy,2,contaminated_10pct,768,614,154,8,256,0.06496187166220023,61,0.7930468313117036,3.2267966165522695,3.1549325361124065,2.784534359819629,0.08423744121061108,0.6154080590048915,1.0,80,False,80
5,Energy,3,clean,768,614,154,8,256,0.06784377124245596,0,0.876015633645059,0.48933343861801665,0.4709830104510717,2.494946254153849,0.0852276003430245,0.5875299955349109,nan,80,False,80
5,Energy,3,contaminated_10pct,768,614,154,8,256,0.06784377124245596,61,0.825530344050581,3.4159738806236892,3.415381821270383,2.469824422091878,0.09181886601240691,0.6328289689976928,1.0,80,False,80
5,Energy,4,clean,768,614,154,8,256,0.06586273053707759,0,0.8303534210508097,0.6160046200319446,0.6033482115873094,2.2591255209562404,0.07410527266696276,0.5908227346452531,nan,80,False,80
5,Energy,4,contaminated_10pct,768,614,154,8,256,0.06586273053707759,61,0.8467149761923758,3.3887522270028216,2.9702048765909472,2.288358004066935,0.0764666771573759,0.6238618686075186,1.0,80,False,80
5,Energy,5,clean,768,614,154,8,256,0.0687300859627934,0,0.9123302450207909,0.5818535819804246,0.5539929767758822,2.58445082404758,0.04776310500236283,0.5788136513006752,nan,80,False,80
5,Energy,5,contaminated_10pct,768,614,154,8,256,0.0687300859627934,61,0.9183955999340473,2.6249293285737987,2.972558389709336,2.491967302599883,0.05681993903500447,0.6058312624988526,1.0,80,False,80
5,Energy,6,clean,768,614,154,8,256,0.06883223159977475,0,0.9582846506209232,0.48085558749363444,0.4844707212113504,2.5506144283882235,0.03940840760170958,0.5766969680155243,nan,80,False,80
5,Energy,6,contaminated_10pct,768,614,154,8,256,0.06883223159977475,61,0.8798014338885098,3.652360510220233,3.2228261132431846,2.5269482067657045,0.05725729791136842,0.6209386631481559,1.0,80,False,80
5,Energy,7,clean,768,614,154,8,256,0.06704505410905023,0,0.955613373335174,0.5871042724826738,0.5659477859297846,2.5060226800811622,0.052940805888925246,0.5748490629467278,nan,80,False,80
5,Energy,7,contaminated_10pct,768,614,154,8,256,0.06704505410905023,61,0.889466975690945,3.359835985639738,3.032323633790677,2.5362265477443393,0.06906925007570654,0.6034228787583434,1.0,80,False,80
5,Energy,8,clean,768,614,154,8,256,0.06647168186336767,0,0.6881287563524067,0.5216065107125675,0.5036564951718885,2.543524047051803,0.05315789394002687,0.5884005733284366,nan,80,False,80
5,Energy,8,contaminated_10pct,768,614,154,8,256,0.06647168186336767,61,0.6949460594473305,3.2294206107925305,2.986643763830127,2.5145367406346066,0.08807933069910356,0.6410381656673471,1.0,80,False,80
5,Energy,9,clean,768,614,154,8,256,0.06532643414566913,0,0.9103835609622541,0.5434815099875235,0.5071500646778847,2.4904442603054857,0.06388991609405924,0.5822520006816368,nan,80,False,80
5,Energy,9,contaminated_10pct,768,614,154,8,256,0.06532643414566913,61,0.8153184185268454,3.659824342556133,3.523578025922879,2.4843639710490697,0.043234371108102285,0.6338153313775069,1.0,80,False,80
