route,dataset,seed,condition,original_rows,train_rows,test_rows,raw_features,rff_features,rff_gamma,outliers,rmse_joint,rmse_model_only,rmse_ridge,rmse_huber,weight_ess_joint,data_ess_joint,outlier_recall_joint,joint_iterations,joint_converged,model_only_iterations
6,Carbon,0,clean,10721,2000,2145,5,256,0.10591768336008064,0,0.003152228859221546,0.0029967264063444758,0.0030769796353348,0.003217187197514827,0.025802769953841415,0.5653226850548462,nan,80,False,80
6,Carbon,0,contaminated_10pct,10721,2000,2145,5,256,0.10591768336008064,200,0.0031341526877682307,0.043347323576185315,0.04267778157891388,0.0032276768294004555,0.053335199520581245,0.5962266805436758,1.0,80,False,80
6,Carbon,1,clean,10721,2000,2145,5,256,0.1046477603211333,0,0.003087861386925489,0.0028442022174018904,0.002864916068212345,0.0031774092761751665,0.03207025793893215,0.5651544426058769,nan,80,False,80
6,Carbon,1,contaminated_10pct,10721,2000,2145,5,256,0.1046477603211333,200,0.003030861016298393,0.0365103825945356,0.03396990950819008,0.003177057302502794,0.0957377863480873,0.5963737991623793,1.0,80,False,80
6,Carbon,2,clean,10721,2000,2145,5,256,0.1051700029226675,0,0.0032642707317425156,0.002881218260318355,0.0029331828279397253,0.003268656541058704,0.03081109562943966,0.571156215567701,nan,80,False,80
6,Carbon,2,contaminated_10pct,10721,2000,2145,5,256,0.1051700029226675,200,0.0032062418803310753,0.03784484554584313,0.03243184356229559,0.003330875808364641,0.07159338568144306,0.5917308201655055,1.0,80,False,80
6,Carbon,3,clean,10721,2000,2145,5,256,0.1031200129729381,0,0.0035790920625466396,0.0031624074552443135,0.0031293191382060063,0.0036705114970444434,0.046301433814042656,0.5725035071512662,nan,80,False,80
6,Carbon,3,contaminated_10pct,10721,2000,2145,5,256,0.1031200129729381,200,0.0034484200088760676,0.04523121600452937,0.04054264194948858,0.0037467497464571935,0.09059995416789678,0.6046516834744484,1.0,80,False,80
6,Carbon,4,clean,10721,2000,2145,5,256,0.10309260143807007,0,0.003633195821385153,0.0031039636316735632,0.003087207060578262,0.0035606522731564845,0.02622292772362326,0.5763379755163439,nan,80,False,80
6,Carbon,4,contaminated_10pct,10721,2000,2145,5,256,0.10309260143807007,200,0.0035167598411652945,0.04486287500132368,0.04211534243964916,0.003593164456307374,0.06945573118146307,0.6114198079907706,1.0,80,False,80
6,Carbon,5,clean,10721,2000,2145,5,256,0.10615564097879092,0,0.0028023428119547814,0.002754798318579655,0.0027718354239774194,0.002811361893265293,0.018527088416687664,0.5656744122962455,nan,80,False,80
6,Carbon,5,contaminated_10pct,10721,2000,2145,5,256,0.10615564097879092,200,0.002764539957214424,0.04736572694008068,0.041459332305638724,0.0029208764630898553,0.05439806616360649,0.6041071275274081,1.0,80,False,80
6,Carbon,6,clean,10721,2000,2145,5,256,0.1080436642852836,0,0.003316362732601924,0.0030992161509708197,0.003237077152027391,0.003572747382864324,0.018383776658684053,0.568552706452253,nan,80,False,80
6,Carbon,6,contaminated_10pct,10721,2000,2145,5,256,0.1080436642852836,200,0.00334064305557465,0.04075657154455459,0.036108144952442356,0.0036994218536045105,0.034852466065245294,0.6026665711405703,1.0,80,False,80
6,Carbon,7,clean,10721,2000,2145,5,256,0.10999364124701401,0,0.0035625016583193925,0.0031758030292682355,0.0031804155987941226,0.003834112651012742,0.03569834633895316,0.5750084118519669,nan,80,False,80
6,Carbon,7,contaminated_10pct,10721,2000,2145,5,256,0.10999364124701401,200,0.0034953496877574088,0.04570710570443745,0.03947092413139385,0.0039250573195173935,0.07894918759418831,0.6016964370658108,1.0,80,False,80
6,Carbon,8,clean,10721,2000,2145,5,256,0.106062552524614,0,0.003327082898844994,0.003092467022761513,0.0031220795217661063,0.003479764489019688,0.05073931639371053,0.5684909773864751,nan,80,False,80
6,Carbon,8,contaminated_10pct,10721,2000,2145,5,256,0.106062552524614,200,0.003332978197553337,0.04153521274816728,0.03607003964285907,0.0036661328810798865,0.0786517570385662,0.6095883285038911,1.0,80,False,80
6,Carbon,9,clean,10721,2000,2145,5,256,0.10796810024506936,0,0.0033706231501747733,0.0029908659364221795,0.0029934456019893594,0.003554094717987697,0.013861382135057882,0.5665760972381403,nan,80,False,80
6,Carbon,9,contaminated_10pct,10721,2000,2145,5,256,0.10796810024506936,200,0.003286399577473335,0.04808864098198094,0.040736160846033,0.0035133667783519857,0.02221593423095884,0.6011932715695196,1.0,80,False,80
