route,dataset,seed,condition,original_rows,train_rows,test_rows,raw_features,rff_features,rff_gamma,outliers,rmse_joint,rmse_model_only,rmse_ridge,rmse_huber,weight_ess_joint,data_ess_joint,outlier_recall_joint,joint_iterations,joint_converged,model_only_iterations
8,Power,0,clean,9568,2000,1914,4,256,0.16461195259414926,0,4.08641505180876,3.9756760041454733,3.998299484984619,4.044001449417562,0.1526711140965102,0.5102514751231035,nan,80,False,80
8,Power,0,contaminated_10pct,9568,2000,1914,4,256,0.16461195259414926,200,4.243872503948736,4.582829691275533,4.538992736401087,4.055210816329779,0.21699514004625173,0.5003978675037726,0.99,80,False,80
8,Power,1,clean,9568,2000,1914,4,256,0.1575620577725011,0,4.124315235817577,4.057128276543999,4.0622601229327895,4.091598345799107,0.09946442130910306,0.5103599802596382,nan,80,False,80
8,Power,1,contaminated_10pct,9568,2000,1914,4,256,0.1575620577725011,200,4.2389458573353025,4.783559373204572,4.648847365620444,4.1488005100112835,0.3317102797259562,0.5058981290097221,0.985,80,False,80
8,Power,2,clean,9568,2000,1914,4,256,0.16066787031696522,0,4.079892765567239,4.063351351864068,4.155077284214383,4.053388018696917,0.06818327590250738,0.5151179518016863,nan,80,False,80
8,Power,2,contaminated_10pct,9568,2000,1914,4,256,0.16066787031696522,200,4.233402225121665,4.709497589438709,4.503469177121759,4.056404398000706,0.10598262623270835,0.4999376423504171,0.985,80,False,80
8,Power,3,clean,9568,2000,1914,4,256,0.16020254327125322,0,4.2171121306188715,4.144171991852723,4.177734535966499,4.180130727384891,0.07253533241665981,0.5126291901781621,nan,80,False,80
8,Power,3,contaminated_10pct,9568,2000,1914,4,256,0.16020254327125322,200,4.225797972746876,4.683020898228891,4.517553201233054,4.180633596794681,0.08760593521395073,0.5023701948692049,0.985,80,False,80
8,Power,4,clean,9568,2000,1914,4,256,0.15492691414384363,0,4.292269642227067,4.223135745341705,4.198665586160527,4.256122251284785,0.22701757312851276,0.5085986674223503,nan,80,False,80
8,Power,4,contaminated_10pct,9568,2000,1914,4,256,0.15492691414384363,200,4.477742239456516,4.866656703497692,4.590165237231437,4.286816648984983,0.17437594700110903,0.5044792413573902,0.975,80,False,80
8,Power,5,clean,9568,2000,1914,4,256,0.14910571353466395,0,4.081282899487759,4.004308895371144,4.019514184222655,4.031981304615133,0.17302873493015958,0.5113661828918827,nan,80,False,80
8,Power,5,contaminated_10pct,9568,2000,1914,4,256,0.14910571353466395,200,4.207251625173767,4.518358777667114,4.4475838708096695,4.042768028450847,0.3652299193965334,0.49920096464647984,0.985,80,False,80
8,Power,6,clean,9568,2000,1914,4,256,0.1722332867120124,0,4.154546115467212,4.080111661132437,4.0955039969980085,4.127069194423978,0.17257190045493936,0.5118447343218427,nan,80,False,80
8,Power,6,contaminated_10pct,9568,2000,1914,4,256,0.1722332867120124,200,4.212204964526203,4.662870668684113,4.42279519629743,4.147624604601192,0.21963769191377905,0.5052303404626746,0.99,80,False,80
8,Power,7,clean,9568,2000,1914,4,256,0.15705924017176434,0,4.183097207783845,4.112724551244394,4.129619752970004,4.147553647546635,0.15016561960258262,0.5162930590955148,nan,80,False,80
8,Power,7,contaminated_10pct,9568,2000,1914,4,256,0.15705924017176434,200,4.338170009088938,4.705497563913218,4.593779271106472,4.155082811424475,0.17455147971010734,0.49864287301536486,0.995,80,False,80
8,Power,8,clean,9568,2000,1914,4,256,0.1656129720145415,0,4.095052896019056,4.0499046189284345,4.017593043538919,4.059399519706977,0.1886070729443204,0.5119392985179315,nan,80,False,80
8,Power,8,contaminated_10pct,9568,2000,1914,4,256,0.1656129720145415,200,4.227414418567231,4.544586365546122,4.51707531852136,4.098640886573143,0.33939908008655373,0.4976674534299284,0.985,80,False,80
8,Power,9,clean,9568,2000,1914,4,256,0.15578631984663158,0,4.045414451308824,4.007605299277283,4.0691468009584195,4.008083253328352,0.16483139493964163,0.5122186936599654,nan,80,False,80
8,Power,9,contaminated_10pct,9568,2000,1914,4,256,0.15578631984663158,200,4.170561758731445,4.496583661534203,4.324171420957662,4.04059832791286,0.36593359658454744,0.49715399750182887,0.985,80,False,80
